Name,Deepdock,XP,Karmadock,Transfoxmol,smiles,,,,,,,,
lig_3939,-116.8466265,-9.856,19.99,,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,,,,,,,,
lig_1164,-114.174466,-10.056,21.56,,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,,,,,,,,
lig_3766,-113.9780671,-9.48,26.79,,COc1c(OC@@H2OC@H(C(=O)O-)C@@H(O)C@H(O)C@H2O)cc2oc(-c3ccccc3)cc(=O)c2c1O,,,,,,,,
lig_3977,-112.8331884,-9.58,21.9,,CC(C)=CCc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,,,,,,,,
lig_1891,-112.6792946,-9.497,31.58,,O=C(O-)c1cc2ccccc2c(Cc2c(O)c(C(=O)O-)cc3ccccc23)c1O,,,,,,,,
lig_2602,-112.4505501,-9.683,22.91,,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)C@H3O)c1,,,,,,,,
lig_3716,-112.0721797,-12.718,26.51,,O=C(/C=C/c1ccc(O)c(O)c1/C=C/c1ccc(O)c(O)c1)OC@H(Cc1ccc(O)c(O)c1)C(=O)O-,,,,,,,,
lig_2469,-111.188474,-10.271,22.36,,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(C@@H3OC@H(CO)C@@H(O)C@H(O)C@H3O)c(O)c12,,,,,,,,
lig_744,-107.2110074,-10.033,20.13,,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,,,,,,,,
lig_1973,-106.2098075,-10.334,21.91,,CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,,,,,,,,
lig_1841,-105.62446,-9.557,25.61,,O=C(O-)c1cc2ccccc2c(Cc2c(O)c(C(=O)O-)cc3ccccc23)c1O,,,,,,,,
lig_3873,-105.5031412,-11.332,25,,COc1cc(CC@H(COC@@H2OC@H(CO)C@@H(O)C@H(O)C@H2O)C@@H(COC@@H2OC@H(CO)C@@H(O)C@H(O)C@H2O)Cc2ccc(O)c(OC)c2)ccc1O,,,,,,,,
lig_2770,-103.589404,-10.094,23.27,,CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CO)CO,,,,,,,,
lig_3955,-103.4443509,-9.503,20.33,,Cc1nHc2ccccc2c1CCNH2+Cc1ccc(/C=C/C(=O)NO)cc1,,,,,,,,
lig_3316,-100.1483537,-9.507,20.29,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12,,,,,,,,
lig_2964,-98.84899078,-9.855,24.34,,COc1c(O)cc2c(c1O)C(=O)c1c(cc(C)c(O)c1OC)C2=O,,,,,,,,
